SNo,Language family,Language name,Native name,639-1,639-2/T,639-2/B,639-3,639-6,Notes
161,Turkic,Turkmen,"TŸrkmen, ???????",tk,tuk,tuk,tuk,,
162,Austronesian,Tagalog,"Wikang Tagalog, ????? ??????",tl,tgl,tgl,tgl,,Note: Filipino (Pilipino) has the code [fil]
163,NigerÐCongo,Tswana,Setswana,tn,tsn,tsn,tsn,,
164,Austronesian,Tonga (Tonga Islands),faka Tonga,to,ton,ton,ton,,
165,Turkic,Turkish,TŸrke,tr,tur,tur,tur,,
166,NigerÐCongo,Tsonga,Xitsonga,ts,tso,tso,tso,,
167,Turkic,Tatar,"????? ????, tatar tele",tt,tat,tat,tat,,
168,NigerÐCongo,Twi,Twi,tw,twi,twi,twi,,Covered by macrolanguage [ak/aka]
169,Austronesian,Tahitian,Reo Tahiti,ty,tah,tah,tah,,One of the Reo M?`ohi (languages of French Polynesia)
170,Turkic,"Uyghur, Uighur","Uy?urq?, ?????????",ug,uig,uig,uig,,
171,Indo-European,Ukrainian,?????????? ????,uk,ukr,ukr,ukr,,
172,Indo-European,Urdu,????,ur,urd,urd,urd,,
173,Turkic,Uzbek,"OÔzbek, ?????, ???????",uz,uzb,uzb,uzb + 2,,macrolanguage
174,NigerÐCongo,Venda,Tshiven?a,ve,ven,ven,ven,,
175,Austroasiatic,Vietnamese,Ti?ng Vi?t,vi,vie,vie,vie,,
176,Constructed,VolapŸk,VolapŸk,vo,vol,vol,vol,,constructed
177,Indo-European,Walloon,walon,wa,wln,wln,wln,,
178,Indo-European,Welsh,Cymraeg,cy,cym,wel,cym,,
179,NigerÐCongo,Wolof,Wollof,wo,wol,wol,wol,,
180,Indo-European,Western Frisian,Frysk,fy,fry,fry,fry,,
181,NigerÐCongo,Xhosa,isiXhosa,xh,xho,xho,xho,,
182,Indo-European,Yiddish,??????,yi,yid,yid,yid + 2,,macrolanguage
183,NigerÐCongo,Yoruba,Yorb‡,yo,yor,yor,yor,,
184,TaiÐKadai,"Zhuang, Chuang","Sa? cue??, Saw cuengh",za,zha,zha,zha + 16,,macrolanguage
185,NigerÐCongo,Zulu,isiZulu,zu,zul,zul,zul,,
,,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,,
,,,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_ISO_639-1_codes,,,,,,,,,
